timestamp	message
2020-07-01T16:20:09.537Z	{"message":"Discount applied","nodeID":"@bytetech/micro-discount-0c254ce73344","ns":"","mod":"broker","orderId":"1531QCSQGL","items":[{"sku":"7766","categoryId":"120","price":3.99,"shelfLifeDays":274,"expiresInDays":273,"discountedPrice":2,"discounts":[{"id":"918bbe94-12e8-4e5b-baeb-abc1f714fd6c","createdAt":"2020-06-27T06:30:17.000Z","createdBy":"123","updatedAt":"2020-06-27T06:30:17.000Z","updatedBy":"123","name":"50 % Off Store Sangamo Therapeutics - Brisbane 2nd","value":50,"valueType":"percent","exclusive":false,"start":"2020-06-27T06:30:17.000Z","clientId":"87","billedToLocation":0,"storeIds":["1531"],"skus":[],"categoryIds":[],"orders":[{"orderId":"1531QCSQGL","couponCodes":[]}]}]}]}
2020-07-01T16:10:09.297Z	{"message":"Discount applied","nodeID":"@bytetech/micro-discount-0c254ce73344","ns":"","mod":"broker","orderId":"831QCSQ4C","items":[{"sku":"4872","categoryId":"4291","price":6.99,"shelfLifeDays":6,"expiresInDays":4,"discountedPrice":3.5,"discounts":[{"id":"fe35ae3b-c1e5-4e0e-bead-276eabdbaad5","createdAt":"2020-06-27T06:30:20.000Z","createdBy":"123","updatedAt":"2020-06-27T06:30:20.000Z","updatedBy":"123","name":"50 % Off Store Clark Pacific - Lab - 1st Flr Brk Rm","value":50,"valueType":"percent","exclusive":false,"start":"2020-06-27T06:30:20.000Z","clientId":"87","billedToLocation":0,"storeIds":["831"],"skus":[],"categoryIds":[],"orders":[{"orderId":"831QCSQ4C","couponCodes":[]}]}]}]}
